train_file,val_file,phash_distance,original_mae,original_pearson,best_dx,best_dy,aligned_mae,aligned_pearson,overlap_fraction,shift_magnitude,mae_improvement
Y_001807.jpg,Y_001811.jpg,0,5.0742950406856835e-05,0.9999968428765479,0,0,5.7584315072745085e-05,0.9999964354337704,1.0,0.0,-6.84136466588825e-06
Y_002229.jpg,Y_002228.jpg,0,0.00015438305854331702,0.9999888698193174,0,0,0.0001732136297505349,0.9999876765569405,1.0,0.0,-1.8830571207217872e-05
S_11049441.jpg,S_11049469.jpg,0,0.006396723911166191,0.9870491671101748,-1,0,0.0030386175494641066,0.9988096089203837,0.995575221238938,1.0,0.0033581063617020845
S_11049285.jpg,S_11049386.jpg,6,0.006838091649115086,0.976910192091309,2,1,0.002039137529209256,0.9993964668212829,0.9867648210509828,2.23606797749979,0.004798954119905829
S_12157296.jpg,S_12157297.jpg,2,0.006920430809259415,0.9938388600524347,-1,0,0.007705093827098608,0.9931885127320533,0.995575221238938,1.0,-0.0007846630178391933
S_11861650.jpg,S_11861666.jpg,0,0.008171051740646362,0.9970753917004849,0,1,0.005573871545493603,0.9993260405936346,0.995575221238938,1.0,0.0025971801951527596
S_11903861.jpg,S_11903669.jpg,2,0.008953019976615906,0.977039913535046,-1,1,0.004064565058797598,0.998657401710231,0.9911700211449604,1.4142135623730951,0.004888454917818308
Y_001024.jpg,Y_001026.jpg,6,0.009189742617309093,0.9924286141685246,-1,-1,0.009131505154073238,0.9926853032025403,0.9911700211449604,1.4142135623730951,5.82374632358551e-05
S_11350344.jpg,S_11350363.jpg,2,0.009354416280984879,0.9874744764714769,0,-1,0.009671429172158241,0.9859769881751165,0.995575221238938,1.0,-0.00031701289117336273
S_10059675.jpg,S_10101113.jpg,0,0.01067421305924654,0.9941219819121094,-1,0,0.012321362271904945,0.9924066981762978,0.995575221238938,1.0,-0.0016471492126584053
S_11917332.jpg,S_11917316.jpg,0,0.011006912216544151,0.992910909225253,0,1,0.005312433931976557,0.9992929819707324,0.995575221238938,1.0,0.0056944782845675945
