image,fold_id,component_id
images/train/0006194.jpg,2,a28b5d51b744f4a4568a970a2b5d4ecb625547d60b130c09d345dd1552cc2234
images/train/0045408.jpg,0,979b20c9f0d9cdb835722eee6f188159e231cda38ac006a872e95a6ca0096657
images/train/0048868.jpg,3,fec8e7d89e5dd9f39a0d2763b974cd90f30b67b21a54525e6393a11f6e4e3e4d
images/train/0058380.jpg,2,08064f15deaa55c38db4930c0c614b9ef58ce528ea84f0a676a06db20fcf7e00
images/train/0059120.jpg,1,32fa9815f4a7b82d6e954e10273cd2fce760ab86ac7e0ef9d4427ecc9320a872
images/train/0061887.jpg,2,10ce281cb847177f66da7e19657b3c5876f36ac04f0d3e32c65ad8c9ffb38fad
images/train/0061956.jpg,3,b5eb59d8980b7922e496d10eba16149652021bf7255f15de9db9792723bc4b5c
images/train/0061974.jpg,2,8e43abb3571349842b281ca541c7f7f3f6e4f7d510b4c2a4abe162f1c9a9ab69
images/train/0063023.jpg,3,22ab8f7c17d6823921522e4757f631b45985371ee4baf0fc17344b96a8dd98f9
images/train/0063030.jpg,4,4916a25750095439a9f644991c5d0fc447ec6b53f8d2017f2e2c26d5f885f9b0
images/train/0063118.jpg,1,ca799450357698c1c9c6d3b93a1edabc1f4715183b715f0a2b80d40e5f3ac245
images/train/0065376.jpg,4,2f7bb58051940abe8eeac670a1729b15079d9c561b5e64ead659e92fcbd19ad7
images/train/0065596.jpg,3,692108d5abd37f98c0556ae120a217e9b97b4de39e473dfc5d29dc0e1fe54286
images/train/0065902.jpg,3,47e08d223d25bb01df6c40a2b8646687feecbe26218f693026359344f10f140c
images/train/0065939.jpg,3,12fbed58ec2b7363fbce7d53f9ba7785450e5dcb8554c6068e264f0f76cbd5fb
images/train/0065943.jpg,3,1e160c66699188794d2c96d25cd1889ba1ae5295de903668841af07056d2c05a
images/train/0065947.jpg,3,7337b5711c47c9badc2577d02771e0a07f207a297cb050e5acf2825b90c2cbee
images/train/0065977.jpg,2,be814049cc4599728f9a28d7ef9cbd54d69ebb1c7a005e2fcdcbe541da5e5693
images/train/0066130.jpg,0,83fba80079edda5bb3f6b4f8add3d051208aa8a782b97d9e7e8c2dad78c088d8
images/train/0067329.jpg,1,6860289d090a2e580d6ce5a137f576069b5d5787902a2322d3f07c081c4642da
images/train/0067993.jpg,4,d0acc0a0a98079340bbec07f1b9bedaa8c429cb7dadfcfa4782824167b42c226
images/train/0068026.jpg,2,2c79c255ec0d0f25cec3077177c89205fe4f5283283494f09f99fc8e51e288e9
images/train/0068071.jpg,0,88c848ef0b8692990d365565b70decc2022d1c36f67fcc8c0ffbd262ae67a3c9
images/train/0068096.jpg,1,117e5182d4dae7c1d76f5b92f2f24fcfff13f4921debde96f14ba41c957f728b
images/train/0068728.jpg,4,79e151611a3fa3253d1b503319054f0188f42984d787cb34d947e1bfa252e0ba
images/train/0069406.jpg,3,aef4ccb617596c7448b74094854383c1da694a28626afe4d98532d2d8454b9cf
images/train/0072520.jpg,3,5c905d39b279b651cefad8e70c9d824791aafd637f5d871a85571cdbd9b553c1
images/train/0075059.jpg,0,47f1add0d7854c559ab2d4cda9ae49201078845ae48b0c079a6ad92f920d4724
images/train/0079911.jpg,3,8450a39447a683674f7d76bd4516ca165ccf204569002cda879fe6c299d45104
images/train/0080268.jpg,4,fb7074bc2c3bdb94e4f491b3ead72c6986bebcf3880022a663df50b5086c2674
images/train/0084218.jpg,2,9740bba065e0499fbf1180e8e609c4a2dddcde79579cd58e359fd50a6c0afed2
images/train/0093085.jpg,4,375428c56abaf621e5671e7c33fe5aa3a1a1b7b3f9ef168908bfa69f27da6c8f
images/train/0097802.jpg,4,3e0b3e05df9593b935908ea0786254d6b40fbb92be51de9883f1d3eeeb8889ee
images/train/0098796.jpg,3,be9f6f468c3482b79f7e620c475d7bd96c5969994851814e168be3ba425c6251
images/train/0100794.jpg,0,73009fee18e25bcd460176a32e72801e1e247008982d9c69424f251ab638b43d
images/train/0105983.jpg,4,c913ed404ecee60a1c6c6c3b1c5ae4d6a2ad9ce198bb199fdd801133f9f9eb9a
images/train/0106237.jpg,2,87818f57ac05c0781e2c43effcd49697e9c542d40abe7da1e04e600f43173b08
images/train/0107314.jpg,4,d9ea6c7b2ef95095dcbde4465a22514175a5a197b24ba1c6ae544cf1919e717a
images/train/0107421.jpg,0,3722f3c4d9372ad5d757229dd39012564452424fe9a3e7bb1e5dcd44725b7e5c
images/train/0108219.jpg,2,919aff47273ce39a43bd42718bbf2081cc74a6b714434ddac879f0b88ff8baa9
images/train/0108367.jpg,3,b7aec462b2b5fe3e1f48621ada395a4f37f2904784017a8693fd84c3ec0924b8
images/train/0124142.jpg,4,f1908b089a312fc2d7131b5384b2e6e949a79b64c24ca964ff2f0dbec550cbfc
